,ACCIDENT_NO,ATMOSPH_COND,ATMOSPH_COND_SEQ,Atmosph Cond Desc
144923,T20160002766,1,1,Clear
144924,T20160002767,1,0,Clear
144925,T20160002770,1,1,Clear
144926,T20160002771,1,0,Clear
144928,T20160002774,1,0,Clear
144929,T20160002777,1,1,Clear
144930,T20160002779,1,0,Clear
144931,T20160002780,1,0,Clear
144932,T20160002781,1,1,Clear
144933,T20160002782,1,1,Clear
144934,T20160002784,1,1,Clear
144935,T20160002786,1,0,Clear
144936,T20160002787,1,1,Clear
144937,T20160002789,1,1,Clear
144938,T20160002793,1,1,Clear
144939,T20160002796,1,0,Clear
144940,T20160002797,1,1,Clear
144941,T20160002799,1,1,Clear
144942,T20160002800,1,1,Clear
144943,T20160002801,1,0,Clear
144944,T20160002802,1,1,Clear
144945,T20160002803,1,1,Clear
144946,T20160002804,1,1,Clear
144947,T20160002805,1,1,Clear
144948,T20160002806,1,1,Clear
144949,T20160002808,1,1,Clear
144950,T20160002809,1,0,Clear
144952,T20160002811,1,1,Clear
144953,T20160002812,1,1,Clear
144954,T20160002813,1,1,Clear
144955,T20160002816,1,1,Clear
144956,T20160002817,1,0,Clear
144957,T20160002818,1,1,Clear
144958,T20160002819,1,1,Clear
144959,T20160002821,1,1,Clear
144960,T20160002822,1,1,Clear
144961,T20160002824,1,0,Clear
144962,T20160002825,1,1,Clear
144963,T20160002827,1,0,Clear
144964,T20160002830,1,1,Clear
144966,T20160002833,9,0,Not known
144967,T20160002837,1,1,Clear
144968,T20160002839,1,0,Clear
144969,T20160002840,1,1,Clear
144970,T20160002841,1,0,Clear
144971,T20160002843,1,0,Clear
144972,T20160002844,1,1,Clear
144973,T20160002845,1,1,Clear
144974,T20160002846,1,1,Clear
144975,T20160002848,1,1,Clear
144976,T20160002850,1,1,Clear
144977,T20160002851,1,0,Clear
144978,T20160002852,1,1,Clear
144979,T20160002853,1,1,Clear
144980,T20160002854,1,1,Clear
144981,T20160002856,1,0,Clear
144983,T20160002858,1,1,Clear
144984,T20160002859,1,0,Clear
144985,T20160002860,1,0,Clear
144987,T20160002863,1,1,Clear
144988,T20160002864,1,1,Clear
144989,T20160002865,1,1,Clear
144990,T20160002867,9,0,Not known
144991,T20160002868,1,1,Clear
144992,T20160002869,1,1,Clear
144993,T20160002872,1,0,Clear
144994,T20160002873,1,1,Clear
144995,T20160002874,9,0,Not known
144996,T20160002875,1,1,Clear
144997,T20160002878,1,1,Clear
144998,T20160002879,1,1,Clear
144999,T20160002881,1,1,Clear
145000,T20160002882,1,1,Clear
