,ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
160069,T20170003707,1,Dry,1
160070,T20170003709,1,Dry,0
160071,T20170003710,1,Dry,1
160072,T20170003711,1,Dry,1
160073,T20170003712,1,Dry,1
160074,T20170003714,1,Dry,1
160075,T20170003715,1,Dry,1
160076,T20170003720,1,Dry,1
160077,T20170003721,1,Dry,0
160078,T20170003722,1,Dry,1
160079,T20170003725,1,Dry,0
160080,T20170003726,1,Dry,1
160081,T20170003729,2,Wet,0
160082,T20170003733,1,Dry,1
160083,T20170003734,1,Dry,0
160084,T20170003736,1,Dry,1
160085,T20170003737,1,Dry,1
160086,T20170003739,1,Dry,1
160087,T20170003741,1,Dry,1
160088,T20170003742,1,Dry,1
160089,T20170003743,1,Dry,1
160090,T20170003744,1,Dry,0
160091,T20170003745,9,Unknown,1
160092,T20170003747,1,Dry,1
160093,T20170003749,1,Dry,1
160094,T20170003752,1,Dry,1
160095,T20170003753,1,Dry,0
160096,T20170003756,1,Dry,1
160097,T20170003757,2,Wet,1
160098,T20170003758,9,Unknown,1
160099,T20170003760,1,Dry,1
160100,T20170003762,1,Dry,1
160101,T20170003763,1,Dry,1
160102,T20170003765,1,Dry,1
160103,T20170003766,1,Dry,1
160104,T20170003767,1,Dry,1
160105,T20170003770,9,Unknown,1
160106,T20170003772,2,Wet,1
160107,T20170003774,1,Dry,1
160108,T20170003776,1,Dry,0
160109,T20170003778,1,Dry,1
160110,T20170003779,1,Dry,1
160111,T20170003781,1,Dry,0
160112,T20170003782,1,Dry,1
160113,T20170003787,1,Dry,0
160114,T20170003790,1,Dry,1
160115,T20170003792,1,Dry,1
160116,T20170003793,1,Dry,1
160117,T20170003797,1,Dry,1
160118,T20170003798,1,Dry,0
160119,T20170003800,1,Dry,1
160120,T20170003801,1,Dry,1
160121,T20170003802,1,Dry,1
160122,T20170003806,1,Dry,1
160123,T20170003811,1,Dry,1
160124,T20170003812,1,Dry,1
160125,T20170003814,1,Dry,1
160126,T20170003816,1,Dry,1
160127,T20170003818,1,Dry,1
160128,T20170003819,1,Dry,1
160129,T20170003821,1,Dry,1
160130,T20170003824,1,Dry,1
160131,T20170003825,1,Dry,1
160132,T20170003826,1,Dry,1
160133,T20170003827,1,Dry,1
160134,T20170003828,1,Dry,1
160135,T20170003829,1,Dry,0
160136,T20170003830,1,Dry,1
160137,T20170003832,1,Dry,1
160138,T20170003834,1,Dry,1
160139,T20170003835,1,Dry,1
160140,T20170003837,1,Dry,1
160141,T20170003839,1,Dry,0
160142,T20170003840,1,Dry,1
160143,T20170003841,1,Dry,0
160144,T20170003842,1,Dry,1
160145,T20170003843,1,Dry,1
160146,T20170003844,1,Dry,1
160147,T20170003846,1,Dry,1
160148,T20170003848,1,Dry,1
160149,T20170003850,1,Dry,1
160150,T20170003853,1,Dry,1
160151,T20170003854,1,Dry,0
160152,T20170003856,1,Dry,1
160153,T20170003861,1,Dry,1
160154,T20170003864,1,Dry,0
160155,T20170003865,1,Dry,1
160156,T20170003866,1,Dry,1
160157,T20170003867,1,Dry,1
160158,T20170003870,1,Dry,1
160159,T20170003871,1,Dry,0
160160,T20170003874,9,Unknown,0
160161,T20170003876,1,Dry,0
160162,T20170003877,1,Dry,1
160163,T20170003878,1,Dry,1
160164,T20170003879,1,Dry,1
160165,T20170003880,1,Dry,1
160166,T20170003881,1,Dry,1
160167,T20170003886,1,Dry,0
160168,T20170003889,1,Dry,0
160169,T20170003890,1,Dry,0
160170,T20170003891,1,Dry,1
160171,T20170003892,1,Dry,1
160172,T20170003895,1,Dry,1
160173,T20170003897,1,Dry,0
160174,T20170003899,1,Dry,0
160175,T20170003900,1,Dry,0
160176,T20170003901,1,Dry,1
160177,T20170003905,1,Dry,1
160178,T20170003907,1,Dry,1
160179,T20170003910,1,Dry,0
160180,T20170003911,9,Unknown,1
160181,T20170003912,1,Dry,1
160182,T20170003920,1,Dry,1
160183,T20170003921,1,Dry,1
160184,T20170003922,1,Dry,1
160185,T20170003924,1,Dry,1
160186,T20170003925,1,Dry,1
160187,T20170003927,1,Dry,1
160188,T20170003929,1,Dry,1
160189,T20170003931,1,Dry,1
160190,T20170003932,1,Dry,0
160191,T20170003933,1,Dry,1
160192,T20170003940,1,Dry,1
160193,T20170003941,1,Dry,1
160194,T20170003945,1,Dry,1
160195,T20170003947,1,Dry,1
160196,T20170003948,9,Unknown,0
160197,T20170003950,1,Dry,1
160198,T20170003951,1,Dry,1
160199,T20170003954,9,Unknown,1
160200,T20170003955,1,Dry,0
160201,T20170003956,1,Dry,1
160202,T20170003958,1,Dry,1
160203,T20170003959,1,Dry,1
160204,T20170003960,1,Dry,1
160205,T20170003961,1,Dry,0
160206,T20170003963,1,Dry,0
160207,T20170003964,1,Dry,1
160208,T20170003966,1,Dry,0
160209,T20170003967,1,Dry,1
160210,T20170003968,1,Dry,0
160211,T20170003969,1,Dry,1
160212,T20170003970,1,Dry,1
160213,T20170003972,1,Dry,1
160214,T20170003973,1,Dry,1
160215,T20170003977,1,Dry,1
160216,T20170003979,1,Dry,1
160217,T20170003981,1,Dry,1
160218,T20170003986,1,Dry,1
160219,T20170003988,1,Dry,1
160220,T20170003989,1,Dry,1
160221,T20170003990,1,Dry,0
160222,T20170003991,2,Wet,1
160223,T20170003994,1,Dry,1
160224,T20170003995,1,Dry,1
160225,T20170003996,1,Dry,1
160226,T20170003997,9,Unknown,1
160227,T20170003999,1,Dry,1
160228,T20170004001,1,Dry,1
